Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
File;BicubicInterpolatingFunction.java;179;84;109;90;122;61;61;;;;;;;;;;;
File;BicubicInterpolatingFunctionTest.java;296;116;214;162;195;98;97;;;;;;;;;;;
File;BicubicInterpolator.java;61;30;39;36;44;27;17;;;;;;;;;;;
File;BicubicInterpolatorTest.java;116;48;72;63;82;44;38;;;;;;;;;;;
File;BigFraction.java;480;150;278;216;326;124;202;;;;;;;;;;;
File;BigFractionField.java;30;17;7;11;19;14;5;;;;;;;;;;;
File;BigFractionFieldTest.java;21;14;4;10;14;11;3;;;;;;;;;;;
File;BigFractionTest.java;508;137;385;368;416;104;312;;;;;;;;;;;
File;BigReal.java;145;62;49;54;93;51;42;;;;;;;;;;;
File;BigRealField.java;30;17;7;11;19;14;5;;;;;;;;;;;
File;BigRealFieldTest.java;21;14;4;10;14;11;3;;;;;;;;;;;
File;BigRealTest.java;156;70;99;82;99;53;46;;;;;;;;;;;
File;BinaryChromosome.java;44;14;19;19;33;15;18;;;;;;;;;;;
File;BinaryChromosomeTest.java;42;21;21;23;31;19;12;;;;;;;;;;;
File;BinaryMutation.java;19;12;8;12;15;11;4;;;;;;;;;;;
File;BinaryMutationTest.java;22;12;9;15;20;13;7;;;;;;;;;;;
File;BinomialConfidenceInterval.java;10;9;0;6;7;7;0;;;;;;;;;;;
File;BinomialConfidenceIntervalAbstractTest.java;40;25;10;18;26;19;7;;;;;;;;;;;
File;BinomialTest.java;72;20;46;34;48;18;30;;;;;;;;;;;
File;BinomialTestTest.java;95;20;74;50;57;17;40;;;;;;;;;;;
File;BisectionSolver.java;41;18;19;21;29;15;14;;;;;;;;;;;
File;BisectionSolverTest.java;55;23;34;44;48;20;28;;;;;;;;;;;
File;BivariateFunction.java;4;3;0;2;3;3;0;;;;;;;;;;;
File;BivariateFunctionTest.java;18;12;6;10;13;10;3;;;;;;;;;;;
File;BivariateGridInterpolator.java;12;11;0;7;8;8;0;;;;;;;;;;;
File;BlockFieldMatrix.java;1111;502;759;781;970;509;461;;;;;;;;;;;
File;BlockFieldMatrixTest.java;1174;414;799;663;848;324;524;;;;;;;;;;;
File;BlockRealMatrix.java;1133;509;765;794;993;516;477;;;;;;;;;;;
File;BlockRealMatrixTest.java;1073;344;746;671;857;333;524;;;;;;;;;;;
File;BoundaryAttribute.java;23;12;6;11;16;10;6;;;;;;;;;;;
File;BoundaryBuilder.java;44;15;24;21;32;13;19;;;;;;;;;;;
File;BoundaryProjection.java;22;11;6;12;17;11;6;;;;;;;;;;;
File;BoundaryProjector.java;96;43;45;44;67;36;31;;;;;;;;;;;
File;BoundarySizeVisitor.java;30;15;8;9;17;10;7;;;;;;;;;;;
File;BracketFinder.java;165;55;102;100;127;51;76;;;;;;;;;;;
File;BracketFinderTest.java;86;29;54;48;59;25;34;;;;;;;;;;;
File;BracketedRealFieldUnivariateSolver.java;14;13;0;10;11;11;0;;;;;;;;;;;
File;BracketedUnivariateSolver.java;9;8;0;4;5;5;0;;;;;;;;;;;
File;BracketingNthOrderBrentSolver.java;227;80;143;127;161;55;106;;;;;;;;;;;
File;BracketingNthOrderBrentSolverTest.java;160;63;80;75;102;54;48;;;;;;;;;;;
File;BrentOptimizer.java;191;51;138;97;127;43;84;;;;;;;;;;;
File;BrentOptimizerTest.java;231;110;166;118;137;93;44;;;;;;;;;;;
File;BrentSolver.java;38;18;19;15;22;13;9;;;;;;;;;;;
File;BrentSolverTest.java;157;51;108;114;127;48;79;;;;;;;;;;;
File;CMAESOptimizer.java;794;266;475;498;665;290;375;;;;;;;;;;;
File;CMAESOptimizerTest.java;711;339;417;338;440;268;172;;;;;;;;;;;
File;CanberraDistance.java;19;12;8;13;16;11;5;;;;;;;;;;;
File;CanberraDistanceTest.java;26;18;10;15;19;15;4;;;;;;;;;;;
File;CannonballExample.java;209;101;130;142;163;96;67;;;;;;;;;;;
File;CardanEulerSingularityException.java;10;7;2;5;7;6;1;;;;;;;;;;;
File;Cartesian1D.java;182;96;65;70;111;66;45;;;;;;;;;;;
File;Cartesian1DTest.java;257;105;144;137;171;73;98;;;;;;;;;;;
File;Cartesian2D.java;228;114;95;99;149;85;64;;;;;;;;;;;
File;Cartesian2DTest.java;186;107;106;106;132;85;47;;;;;;;;;;;
File;Cartesian3D.java;282;134;129;130;191;105;86;;;;;;;;;;;
File;Cbrt.java;14;9;2;6;9;7;2;;;;;;;;;;;
File;Ceil.java;9;6;1;4;6;5;1;;;;;;;;;;;
File;CentralPivotingStrategy.java;12;8;3;6;8;6;2;;;;;;;;;;;
File;CentroidCluster.java;12;6;4;6;9;6;3;;;;;;;;;;;
File;CertifiedDataAbstractTest.java;108;44;61;60;79;42;37;;;;;;;;;;;
File;CertifiedDataTest.java;94;24;69;64;74;22;52;;;;;;;;;;;
File;Characterization.java;84;25;46;41;57;22;35;;;;;;;;;;;
File;CharacterizationTest.java;275;106;215;223;243;94;149;;;;;;;;;;;
File;ChebyshevDistance.java;11;8;2;5;7;6;1;;;;;;;;;;;
File;ChebyshevDistanceTest.java;21;15;8;13;16;13;3;;;;;;;;;;;
File;ChiSquareTest.java;190;74;107;103;138;58;80;;;;;;;;;;;
File;ChiSquareTestTest.java;183;57;132;92;113;47;66;;;;;;;;;;;
File;ChineseRings.java;61;40;31;37;44;30;14;;;;;;;;;;;
File;ChineseRingsClassifier.java;195;69;115;93;125;73;52;;;;;;;;;;;
File;CholeskyDecomposition.java;155;57;90;106;144;68;76;;;;;;;;;;;
File;CholeskyDecompositionTest.java;102;51;59;48;60;40;20;;;;;;;;;;;
File;CholeskySolverTest.java;77;29;47;30;40;22;18;;;;;;;;;;;
File;Chromosome.java;32;11;14;11;22;11;11;;;;;;;;;;;
File;ChromosomePair.java;20;9;6;9;14;8;6;;;;;;;;;;;
File;ChromosomeTest.java;92;37;50;41;56;34;22;;;;;;;;;;;
File;Circle.java;136;67;43;58;88;52;36;;;;;;;;;;;
File;CircleProblem.java;106;49;67;75;92;53;39;;;;;;;;;;;
File;CircleScalar.java;57;24;32;31;45;29;16;;;;;;;;;;;
File;CircleTest.java;153;74;97;109;125;65;60;;;;;;;;;;;
File;CircleVectorial.java;64;25;38;38;53;31;22;;;;;;;;;;;
File;ClassicalRungKuttaFieldStepInterpolatorTest.java;42;28;8;12;18;13;5;;;;;;;;;;;
File;ClassicalRungeKuttaFieldIntegrator.java;54;24;26;30;37;16;21;;;;;;;;;;;
