Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testNonJaggedData();11;1;1;8;0.5714285714285714;4;0.3333333333333333
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testMultipleColumnsRequired();8;0;0;2;0.14285714285714285;1;0.08333333333333333
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testMaxIterationsPositive();405;1;100;1;0.07142857142857142;3;0.25
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testThresholdPositive();405;1;100;0;0;0;0
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testConvergenceException();405;1;100;0;0;0;0
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testIncompatibleIntialMixture();17;1;3;0;0;0;0
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testFit();405;1;100;0;0;0;0
org.apache.commons.math4.geometry.euclidean.twod.NestedLoopsTest.testNestedLoops();6;1;1;5;1;3;0.6
org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testIntersection2();5.5;0;0;7;1;2;1
org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testSimilar();4;0;0;3;1;1;1
org.apache.commons.math4.geometry.euclidean.threed.PlaneTest.testRotate();7;0;0;6;1;1;1
org.apache.commons.math4.analysis.polynomials.PolynomialFunctionTest.testSubtraction();12.5;1;1.5;9;0.6428571428571429;1;0.1111111111111111
org.apache.commons.math4.analysis.polynomials.PolynomialsUtilsTest.testJacobiLegendre();15.5;1;4.5;0;0;0;0
org.apache.commons.math4.stat.regression.MillerUpdatingRegressionTest.testOneRedundantColumn();6;0;0;5;0.45454545454545453;1;0.25
org.apache.commons.math4.stat.regression.MillerUpdatingRegressionTest.testThreeRedundantColumn();6;0;0;0;0;0;0
org.apache.commons.math4.stat.regression.SimpleRegressionTest.testRegressIfaceMethod();5;0;0;4;0.5;1;0.3333333333333333
org.apache.commons.math4.geometry.euclidean.twod.SegmentTest.testDistance();10;0;0;9;0.6923076923076923;1;0.5
org.apache.commons.math4.random.SobolSequenceGeneratorTest.testConstructor2();9;0;0;8;0.6666666666666666;1;0.3333333333333333
org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinatesTest.testCoordinatesStoC();11;0;0;10;1;1;1
org.apache.commons.math4.geometry.euclidean.threed.SphericalCoordinatesTest.testHessian();30;0;0;29;1;1;1
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testEndPoints();10;1;1;9;1;3;0.42857142857142855
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testNoEndPoints();10;1;1;0;0;0;0
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testNoSegments();6;0;0;0;0;1;0.14285714285714285
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testSeveralSegments();14;1;2;0;0;3;0.42857142857142855
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testHalfInfinitePos();10;1;1;0;0;0;0
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testHalfInfiniteNeg();10;1;1;0;0;0;0
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionInsideInside();8;0;0;9;0.8181818181818181;2;0.6666666666666666
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionInsideBoundary();8;0;0;0;0;0;0
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionInsideOutside();8;0;0;0;0;0;0
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionBoundaryBoundary();8;0;0;0;0;0;0
org.apache.commons.math4.geometry.euclidean.threed.SubLineTest.testIntersectionNotIntersecting();5;0;0;2;0.18181818181818182;1;0.3333333333333333
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketCentered();24;0;0;23;0.5897435897435898;1;0.02631578947368421
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketEndpointRoot();36;1;1;4;0.10256410256410256;12;0.3157894736842105
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testNullFunction();4;0;0;2;0.05128205128205128;1;0.02631578947368421
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadMaximumIterations();6;0;0;2;0.05128205128205128;1;0.02631578947368421
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLow();49;1;2;2;0.05128205128205128;13;0.34210526315789475
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketHigh();50;1;2;2;0.05128205128205128;1;0.02631578947368421
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLinear();1312;1;100;2;0.05128205128205128;1;0.02631578947368421
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketExponential();140;1;9;0;0;0;0
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadAdditive();5;0;0;2;0.05128205128205128;1;0.02631578947368421
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testIterationExceeded();1312;1;100;0;0;0;0
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketLoopConditionForB();141;1;9;0;0;0;0
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketSin();24;0;0;0;0;0;0
org.apache.commons.math4.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseSimpleNoDecimals();6;0;0;5;0.7142857142857143;1;0.5
org.apache.commons.math4.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseSimpleWithDecimals();6;0;0;0;0;0;0
org.apache.commons.math4.random.CorrelatedRandomVectorGeneratorTest.testMeanAndCovariance();13;1;4;6;1;4;0.8
org.apache.commons.math4.random.UncorrelatedRandomVectorGeneratorTest.testMeanAndCorrelation();13;1;4;0;0;0;0
