Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testSameName();13,2,4,5,6,7,8,9,8,9,8,9,10,14;14;1;2;2;10;0.7142857142857143;0;2;0.3333333333333333
net.objecthunter.exp4j.ExpressionBuilderTest.testInvalidFunction();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testMissingVar();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testUnaryMinusPowerPrecedence();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testUnaryMinus();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression1();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression10();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression11();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder6();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression12();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression13();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpression14();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
